id,type,text1,text2,text3,notes
diableavionics_arbitrator_ship,SHIP,ayy lmao,,,
diableavionics_blizzaia_plus_ship,SHIP,"Frankly, this variant was a very bad idea done in a very nice way.",It's best not to think too much about it.,,
diableavionics_blizzaia_ship,SHIP,ayy lmao,,,
diableavionics_zephyr_ship,SHIP,ayy lmao,,,
diableavionics_frost_ship,SHIP,ayy lmao,,,
diableavionics_warlust_ship,SHIP,ayy lmao,,,
diableavionics_raven_ship,SHIP,ayy lmao,,,
diableavionics_valiant_ship,SHIP,ayy lmao,,,
diableavionics_strife_ship,SHIP,ayy lmao,,,
diableavionics_gladiator_frost_ship,SHIP,John Chaplain's pretty little fighter!,,,
