name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Broadsword S,broadsword_ship,,Low Tech,flarelauncher_fighter,0,750,100,80,,10,0,,200,400,350,90,180,30,NONE,,0,0,0,,,1,1,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Claw S,claw_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Cobra S,cobra_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Dagger S,dagger_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Borer S,drone_borer_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Terminator S,drone_terminator_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Gladius S,gladius_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Khopesh S,hoplon_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Longbow S,longbow_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Lux S,lux_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Mining Pod S,mining_drone_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Perdition S,perdition_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Piranha S,piranha_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Spark S,spark_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Talon S,talon_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Thunder S,thunder_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Trident S,trident_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Warthog S,warthog_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Wasp S,wasp_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
Xyphos S,xyphos_ship,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0.3,,11,0,,15,180,0.25,0.2,1,,,,0,0,3,
