id,type,text1,text2,text3,notes
broadsword_ship,SHIP,ayy lmao,,,
claw_ship,SHIP,ayy lmao,,,
cobra_ship,SHIP,ayy lmao,,,
dagger_ship,SHIP,ayy lmao,,,
drone_borer_ship,SHIP,ayy lmao,,,
drone_terminator_ship,SHIP,ayy lmao,,,
flash_ship,SHIP,ayy lmao,,,
gladius_ship,SHIP,ayy lmao,,,
hoplon_ship,SHIP,ayy lmao,,,
longbow_ship,SHIP,ayy lmao,,,
lux_ship,SHIP,ayy lmao,,,
mining_drone_ship,SHIP,ayy lmao,,,
perdition_ship,SHIP,ayy lmao,,,
piranha_ship,SHIP,ayy lmao,,,
spark_ship,SHIP,ayy lmao,,,
talon_ship,SHIP,ayy lmao,,,
thunder_ship,SHIP,ayy lmao,,,
trident_ship,SHIP,ayy lmao,,,
warthog_ship,SHIP,ayy lmao,,,
wasp_ship,SHIP,ayy lmao,,,
xyphos_ship,SHIP,ayy lmao,,,
